timestamp,theta,delta,attention,meditation,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,SDNN_over_RMSSD,CVNN,SDNN,RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num,event
2023-07-12_17:40:46.190905,26607,26087,74,63,2324,3387,4682,4038,4026,522,0,0,860,79,0.757161786,0.09802033,79.61864662,105.1540742,0.866666667,0.7,0.566666667,0.5,0.433333333,0,0,0,1,
2023-07-12_17:40:47.211529,40215,5211,70,63,31990,29085,11394,15649,13927,2115,0,0,852,78,0.760626231,0.098214999,79.8291509,104.9518773,0.833333333,0.666666667,0.533333333,0.466666667,0.4,0,0,0,1,
2023-07-12_17:40:48.232977,85133,972021,67,53,12120,9906,9978,16358,7936,1702,0,0,802,79,0.751063735,0.097578635,79.08423076,105.2962979,0.833333333,0.666666667,0.533333333,0.5,0.433333333,0,0,0,1,
2023-07-12_17:40:49.254770,43672,23101,50,63,29406,847,11954,14105,3225,4289,0,0,906,77,0.755894485,0.098408232,79.84843977,105.6343727,0.833333333,0.666666667,0.566666667,0.533333333,0.466666667,0,0,0,1,
2023-07-12_17:40:50.278802,8487,4688,57,78,19089,5957,9353,8573,4062,2496,0,0,918,74,0.768183961,0.099877148,81.16017086,105.6519987,0.833333333,0.633333333,0.533333333,0.533333333,0.466666667,0,0,0,1,
2023-07-12_17:40:51.303520,14146,12169,60,88,12922,2049,3718,6273,3338,4579,0,0,878,69,0.775659703,0.099933994,81.21302578,104.7018756,0.866666667,0.666666667,0.566666667,0.566666667,0.466666667,0,0,0,1,
2023-07-12_17:40:52.326050,100199,131716,44,80,13047,7484,17432,2940,7970,2636,0,0,920,69,0.793985147,0.101993472,83.32866654,104.9499059,0.866666667,0.666666667,0.566666667,0.566666667,0.433333333,0,0,0,1,
2023-07-12_17:40:53.350518,80952,406916,37,78,23393,49301,7977,13930,12604,3992,0,0,974,67,0.834265425,0.106880486,87.91988778,105.38599,0.866666667,0.7,0.6,0.6,0.466666667,0,0,0,1,
2023-07-12_17:40:54.372575,5788,11088,43,77,4332,11371,5370,11130,14891,5182,0,0,802,68,0.79940067,0.107061848,87.99770199,110.079595,0.866666667,0.733333333,0.633333333,0.633333333,0.5,0,0,0,1,
2023-07-12_17:40:55.396510,31014,24376,47,67,5393,8733,8315,16361,9561,1172,0,0,862,68,0.799055358,0.106877203,88.17369222,110.3474138,0.9,0.8,0.666666667,0.633333333,0.5,0,0,0,1,
2023-07-12_17:40:56.418762,12286,57267,61,78,8379,2118,1465,3519,1562,641,0,0,880,67,0.807584859,0.106838673,88.4624214,109.5394749,0.9,0.8,0.666666667,0.633333333,0.5,0,0,0,1,
2023-07-12_17:40:57.444178,7443,1964,70,78,7272,3627,2919,7002,3762,1417,0,0,866,67,0.80777879,0.106863709,88.49027567,109.5476593,0.9,0.766666667,0.633333333,0.6,0.466666667,0,0,0,1,
2023-07-12_17:40:58.468879,8351,7323,70,74,969,9876,7497,7744,5485,1083,0,0,828,68,0.817925534,0.106528113,88.04193445,107.6405256,0.9,0.8,0.666666667,0.6,0.466666667,0,0,0,1,
2023-07-12_17:40:59.487706,16836,43713,57,77,1765,4987,1307,1673,1416,772,0,0,910,68,0.818882929,0.106298801,88.38391005,107.9322904,0.9,0.8,0.666666667,0.6,0.466666667,0,0,0,1,
2023-07-12_17:41:00.511582,7911,5966,67,75,7957,3744,6562,10653,4033,2390,0,0,950,67,0.840266974,0.108809186,90.90644764,108.1875766,0.9,0.8,0.666666667,0.6,0.433333333,0,0,0,1,
2023-07-12_17:41:01.531833,26295,9144,63,74,10207,16196,16883,8987,12737,4908,0,0,960,67,0.865556494,0.111456381,93.60106837,108.1397563,0.933333333,0.8,0.666666667,0.6,0.433333333,0,0,0,2,100
2023-07-12_17:41:02.552031,9357,47628,61,64,1335,1336,1197,4233,2157,926,0,0,934,67,0.87906187,0.110589769,93.70639727,106.598182,0.933333333,0.8,0.7,0.633333333,0.433333333,0,0,0,2,
2023-07-12_17:41:03.581130,35083,76054,70,63,10401,8576,13848,14607,6690,4064,0,0,994,66,0.90780839,0.113949717,97.19910836,107.0700705,0.933333333,0.8,0.7,0.633333333,0.433333333,0,0,0,2,
2023-07-12_17:41:04.601657,4737,26033,64,64,3987,6773,9399,3762,4308,698,0,0,890,65,0.892853591,0.113152645,96.86620784,108.4905844,0.933333333,0.8,0.733333333,0.666666667,0.466666667,0,0,0,2,
2023-07-12_17:41:05.622285,14733,9953,64,64,5988,6140,3973,4283,4379,5869,0,0,920,65,0.909833096,0.113546378,97.49849002,107.1608523,0.933333333,0.8,0.733333333,0.633333333,0.466666667,0,0,0,2,
